measure_id,measure_name,national_rate,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,4.1,8,1706,6,1387,,04/01/2023,03/31/2025
Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3.9,412,3527,422,250,,07/01/2024,06/30/2025
MORT_30_AMI,Death rate for heart attack patients,11.9,3,1941,9,1841,,07/01/2022,06/30/2025
MORT_30_CABG,Death rate for CABG surgery patients,2.4,4,859,1,217,,07/01/2022,06/30/2025
MORT_30_COPD,Death rate for COPD patients,8.6,10,2638,12,1807,,07/01/2022,06/30/2025
MORT_30_HF,Death rate for heart failure patients,11.1,38,2964,106,1388,,07/01/2022,06/30/2025
MORT_30_PN,Death rate for pneumonia patients,15.2,84,3529,130,822,,07/01/2022,06/30/2025
MORT_30_STK,Death rate for stroke patients,11.9,52,2304,95,1468,,07/01/2023,06/30/2025
PSI_03,Pressure ulcer rate,0.63,181,2950,49,61,,07/01/2022,06/30/2024
PSI_04,Death rate among surgical inpatients with serious treatable complications,173.3,56,1429,45,1045,,07/01/2022,06/30/2024
PSI_06,Iatrogenic pneumothorax rate,0.21,14,3204,0,33,,07/01/2022,06/30/2024
PSI_08,In-hospital fall-associated fracture rate,0.27,11,3205,1,35,,07/01/2022,06/30/2024
PSI_09,Postoperative hemorrhage or hematoma rate,2.34,29,2857,6,152,,07/01/2022,06/30/2024
PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.67,21,2467,3,406,,07/01/2022,06/30/2024
PSI_11,Postoperative respiratory failure rate,9.42,102,2362,36,408,,07/01/2022,06/30/2024
PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.52,63,2825,12,145,,07/01/2022,06/30/2024
PSI_13,Postoperative sepsis rate,5.27,37,2383,22,419,,07/01/2022,06/30/2024
PSI_14,Postoperative wound dehiscence rate,1.77,8,2496,0,426,,07/01/2022,06/30/2024
PSI_15,Abdominopelvic accidental puncture or laceration rate,1.06,25,2813,2,203,,07/01/2022,06/30/2024
PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.0,163,2765,61,Not Available,,07/01/2022,06/30/2024
