state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
AK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,4,0,5,,04/01/2023,03/31/2025
AK,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,16,1,4,,07/01/2024,06/30/2025
AK,MORT_30_AMI,Death rate for heart attack patients,0,5,0,11,,07/01/2022,06/30/2025
AK,MORT_30_CABG,Death rate for CABG surgery patients,0,2,0,1,,07/01/2022,06/30/2025
AK,MORT_30_COPD,Death rate for COPD patients,1,9,0,11,,07/01/2022,06/30/2025
AK,MORT_30_HF,Death rate for heart failure patients,2,8,0,11,,07/01/2022,06/30/2025
AK,MORT_30_PN,Death rate for pneumonia patients,0,14,0,7,,07/01/2022,06/30/2025
AK,MORT_30_STK,Death rate for stroke patients,0,5,1,12,,07/01/2023,06/30/2025
AK,PSI_03,Pressure ulcer rate,2,6,0,0,,07/01/2022,06/30/2024
AK,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,4,0,2,,07/01/2022,06/30/2024
AK,PSI_06,Iatrogenic pneumothorax rate,1,7,0,0,,07/01/2022,06/30/2024
AK,PSI_08,In-hospital fall-associated fracture rate,0,8,0,0,,07/01/2022,06/30/2024
AK,PSI_09,Postoperative hemorrhage or hematoma rate,0,7,0,0,,07/01/2022,06/30/2024
AK,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,6,0,0,,07/01/2022,06/30/2024
AK,PSI_11,Postoperative respiratory failure rate,0,6,0,0,,07/01/2022,06/30/2024
AK,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,7,0,0,,07/01/2022,06/30/2024
AK,PSI_13,Postoperative sepsis rate,0,6,0,0,,07/01/2022,06/30/2024
AK,PSI_14,Postoperative wound dehiscence rate,0,7,0,0,,07/01/2022,06/30/2024
AK,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,6,0,0,,07/01/2022,06/30/2024
AK,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2,5,0,Not Available,,07/01/2022,06/30/2024
