facility_id,facility_name,hospital_type,address,city_town,state,zip_code,county_parish,measure_id,measure_description,total_cases,performance_category,rate,interval_lower_limit,interval_upper_limit,footnote,start_date,end_date
50146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,2732,No Different than the National Rate,13.5,9.5,12.5,,07/01/2024,06/30/2025
50146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,2732,No Different than the National Rate,5.5,4.4,6.5,,07/01/2024,06/30/2025
50146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1890,Better than the National Rate,20.3,18.6,22.0,,10/01/2023,09/30/2024
50146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,72,Not Applicable,48.8,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
50660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1257,No Different than the National Rate,11.7,10.6,14.2,,07/01/2024,06/30/2025
50660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1257,No Different than the National Rate,4.0,5.4,10.0,,07/01/2024,06/30/2025
50660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,217,No Different than the National Rate,20.3,15.5,25.2,,10/01/2023,09/30/2024
50660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5.0,07/01/2023,06/30/2024
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1612,No Different than the National Rate,11.6,10.7,14.1,,07/01/2024,06/30/2025
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1612,No Different than the National Rate,5.5,4.4,6.7,,07/01/2024,06/30/2025
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1029,No Different than the National Rate,20.3,17.8,22.8,,10/01/2023,09/30/2024
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-37,Surgical treatment complications for localized prostate cancer,28,Not Applicable,50.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,3455,No Different than the National Rate,11.2,11.0,14.4,,07/01/2024,06/30/2025
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,3455,No Different than the National Rate,5.7,4.2,6.3,,07/01/2024,06/30/2025
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-36,30-Day Unplanned Readmission for Cancer Patients,2414,Worse than the National Rate,25.7,24.0,27.4,,10/01/2023,09/30/2024
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-37,Surgical treatment complications for localized prostate cancer,25,Not Applicable,46.9,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,2115,SUFFOLK,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,4819,Better than the National Rate,14.4,8.8,11.5,,07/01/2024,06/30/2025
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,2115,SUFFOLK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,4819,No Different than the National Rate,5.8,4.2,6.2,,07/01/2024,06/30/2025
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,2115,SUFFOLK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,312,No Different than the National Rate,19.9,15.9,23.9,,10/01/2023,09/30/2024
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,2115,SUFFOLK,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5.0,07/01/2023,06/30/2024
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,8946,No Different than the National Rate,12.3,10.9,13.3,,07/01/2024,06/30/2025
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,8946,No Different than the National Rate,5.6,4.6,6.4,,07/01/2024,06/30/2025
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-36,30-Day Unplanned Readmission for Cancer Patients,4331,No Different than the National Rate,22.6,21.4,23.9,,10/01/2023,09/30/2024
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-37,Surgical treatment complications for localized prostate cancer,50,Not Applicable,49.1,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,771,No Different than the National Rate,11.4,10.6,14.9,,07/01/2024,06/30/2025
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,771,No Different than the National Rate,4.6,5.1,8.7,,07/01/2024,06/30/2025
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,806,Better than the National Rate,15.3,12.4,18.2,,10/01/2023,09/30/2024
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1.0,07/01/2023,06/30/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1987,No Different than the National Rate,12.4,10.2,13.4,,07/01/2024,06/30/2025
